Title,Artist,Year,Genre,FavSong,URL,CoverFile,Country,CountryName,Tags,Comment,Mood_Sad,Mood_Angry,Mood_Happy,Mood_Dark,Mood_Groovy,Mood_Dreamy,Mood_Passion,Notes,Lyric
Titanic Rising,Weyes Blood,2019,Psychedelic Pop,Andromeda,https://www.youtube.com/watch?v=ZHGw78IJryE,cover_weyes_titantic.jpeg,US,USA,Deep and Moving,,3,0,0,0,0,4,1,,
Igor,"Tyler, the Creator",2019,Neo-Soul,EARFQUAKE,https://www.youtube.com/watch?v=HmAsUQEFYGI,cover_tyler_igor.jpeg,US,USA,Eclectic Masterpiece,,3,0,0,0,0,0,2,,
Blade Runner,Vangelis,1980,Progressive Electronic,Memories of Green,https://www.youtube.com/watch?v=u1KfOMkyU_w,cover_vangelis_blade.jpeg,US,USA,"Soundtrack, World Is Cold and Lonely",,4,0,0,0,0,4,0,,
Daughter of Darkness,Natural Snow Buildings,2009,"Drone, Ritual Ambient",(Not applicable),https://www.youtube.com/watch?v=VgWKcPQgNJQ,cover_natural_snow.jpeg,FR,France,"Gaze Into the Abyss, World Is Cold and Lonely",,,,,,,,,,
Abbey Road,The Beatles,1969,Pop Rock,Here Comes the Sun,https://www.youtube.com/watch?v=GKdl-GCsNJ0,cover_beatles_abbey.jpeg,GB,United Kingdom,Eclectic Masterpiece,,0,0,5,0,0,1,0,,
What's Going On,Marvin Gaye,1971,Smooth Soul,What's Going On ,https://www.youtube.com/watch?v=H-kA3UtBj4M,cover_gaye_whats.webp,US,USA,Deep and Moving,,3,0,2,0,0,1,2,,
Blackwater Park,Opeth,2001,Progressive Metal,Blackwater Park,https://www.youtube.com/watch?v=j4xCb_OU_lM,cover_opeth_blackwater.jpeg,SE,Sweden,Gaze Into the Abyss,,1,2,0,4,2,1,0,,
Konoyo,Tim Hecker,2018,"Ambient, Drone, Gagaku",This Life,https://www.youtube.com/watch?v=90unmGG4eKI,cover_hecker_konoyo.jpeg,CA,Canada,"Gaze Into the Abyss, World Is Cold and Lonely",,4,0,0,2,0,4,0,,
Sonny Boy,Various Artists,2021,Alternative Rock,Sonny Boy Rhapsody,https://www.youtube.com/watch?v=HSDdRxAEdcs,cover_various_sonny.jpeg,JP,Japan,"Soundtrack, Ecclectic Masterpiece",,,,,,,,,,
Zombie,Fela Anikulapo Kuti and Afrika 70,1977,Afrobeat,Zombie,https://www.youtube.com/watch?v=Qj5x6pbJMyU,cover_fela_zombie.jpeg,NG,Nigeria,Truth to Power,,0,1,0,0,4,0,0,,"Zombie no go turn, unless you tell am to turn (Zombie) / Zombie no go think, unless you tell em to think (Zombie)"
FTA!: Songs of the GI Resistance ,Barbara Dane,1970,Contemporary Folk,Resistance Hymn,https://www.youtube.com/watch?v=YS1rSEnxgNE,cover_dane_fta.jpeg,US,USA,Truth to Power,,1,1,1,0,0,0,1,,
