Title,Artist,Album,Year,Genre,URL,MV,Duration,Country,CountryName,Tags,Mood_Sad,Mood_Angry,Mood_Happy,Mood_Dark,Mood_Groovy,Mood_Dreamy,Mood_Passion,Notes,Lyric,Views
Move On Up,Curtis Mayfield,Curtis,1970,Funk,https://www.youtube.com/watch?v=6Z66wVo7uNw,False,8:49,US,USA,,0,0,4,0,4,0,0,,,55858179
Here Comes the Sun,The Beatles,Abbey Road,1969,Sunshine Pop,https://www.youtube.com/watch?v=tDEzmaZHuS0,False,03:05.00,UK,United Kingdom,,0,0,5,0,0,1,0,,,636143
For Whom the Bell Tolls,Metallica,Ride the Lightning,1984,Thrash Metal,https://www.youtube.com/watch?v=B_HSa1dEL9s,False,5:10,US,USA,,0,2,0,3,2,0,0,,,180382065
Juice (Know the Ledge),Eric B. & Rakim,Juice (Know the Ledge) ,1992,Boom Bap,https://www.youtube.com/watch?v=OPkWYTUiPTo,False,04:01.00,US,USA,,0,1,0,0,1,0,0,,,16611812
I Really Want to Stay at Your House,Rosa Walton,,,,,,,,,,,,,,,,,,,
Moment of Truth,Gang Starr,,,,,,,,,,,,,,,,,,,
Little Wing,The Jimi Hendrix Experience,,,,,,,,,,,,,,,,,,,
"No Woman, No Cry",Bob Marley & The Wailers,,,,,,,,,,,,,,,,,,,
"Shook Ones, Pt. II",Mobb Deep,,,,,,,,,,,,,,,,,,,
Farewell Transmission,Songs: Ohia,,,,,,,,,,,,,,,,,,,
Thinkin Bout You,Frank Ocean,,,,,,,,,,,,,,,,,,,
Debaser,Pixies,,,,,,,,,,,,,,,,,,,
Words of Wisdom,2Pac,,,,,,,,,,,,,,,,,,,
The State of Massachusetts,Dropkick Murphys,,,,,,,,,,,,,,,,,,,
Answer,Bump of Chicken,,,,,,,,,,,,,,,,,,,
Clearing,Grouper,,,,,,,,,,,,,,,,,,,
Give It Up Or Turnit Loose,James Brown,,,,,,,,,,,,,,,,,,,
John Wayne Was a Nazi,MDC,,,,,,,,,,,,,,,,,,,
Asking for a Friend,CHVRCHES,,,,,,,,,,,,,,,,,,,
Dreams,Faye Wong,,,,,,,,,,,,,,,,,,,
Undertale,Toby Fox,,,,,,,,,,,,,,,,,,,
Hyouri Ittai,Yuzu,,,,,,,,,,,,,,,,,,,
Duvet,Bôa,,,,,,,,,,,,,,,,,,,
Yukiko-san,Midori,,,,,,,,,,,,,,,,,,,
Beneath the Mask,Shoji Meguro,,,,,,,,,,,,,,,,,,,
Main Theme of FFVII,Nobuo Uematsu,,,,,,,,,,,,,,,,,,,
Don’t Be So Serious,Low Roar,,,,,,,,,,,,,,,,,,,
Goolaxy,JunxPunx,,,,,,,,,,,,,,,,,,,
月まで届け、不死の煙 ,ZUN,,,,,,,,,,,,,,,,,,,
Drown Within,Ulcerate,,,,,,,,,,,,,,,,,,,
Walkin,Denzel Curry,,,,,,,,,,,,,,,,,,,
Hyperballad,Björk,,,,,,,,,,,,,,,,,,,
A Dangerous Meeting,Mercyful Fate,,,,,,,,,,,,,,,,,,,
Pool,School Food Punishment,,,,,,,,,,,,,,,,,,,
Me and Jesus the Pimp in a ‘79 Granada Last Night,The Coup,,,,,,,,,,,,,,,,,,,
Til We Run Out of Air,Hatchie,,,,,,,,,,,,,,,,,,,
On Melancholy Hill,Gorillaz,,,,,,,,,,,,,,,,,,,
Never Meant,American Football,,,,,,,,,,,,,,,,,,,
Sadness as a Gift,Adrianne Lenker,,,,,,,,,,,,,,,,,,,
